月日	グレード	レース名	競馬場	性齢	コース	距離	優勝馬	騎手
2026年1月4日	G3	中山金杯	中山	4歳以上	芝	2,000m	カラマティアノス	津村明秀
2026年1月4日	G3	京都金杯	京都	4歳以上	芝	1,600m	ブエナオンダ	川田将雅
2026年1月11日	G3	フェアリーS	中山	3歳牝	芝	1,600m	ブラックチャリス	津村明秀
2026年1月12日	G3	シンザン記念	京都	3歳	芝	1,600m	サンダーストラック	T.ハマーハンセン
2026年1月18日	G3	京成杯	中山	3歳	芝	2,000m	グリーンエナジー	戸崎圭太
2026年1月18日	G2	日経新春杯	京都	4歳以上	芝	2,400m	ゲルチュタール	坂井瑠星
2026年1月24日	G3	小倉牝馬S	小倉	4歳以上牝	芝	2,000m	ジョスラン	C.ルメール
2026年1月25日	G2	アメリカJCC	中山	4歳以上	芝	2,200m	ショウヘイ	川田将雅
2026年1月25日	G2	プロキオンS	京都	4歳以上	ダート	1,800m	ロードクロンヌ	横山和生
2026年2月1日	G3	根岸S	東京	4歳以上	ダート	1,400m	ロードフォンス	横山和生
2026年2月1日	G3	シルクロードS	京都	4歳以上	芝	1,200m	フィオライア	太宰啓介
2026年2月10日	G3	きさらぎ賞	京都	3歳	芝	1,800m	ゾロアストロ	T.ハマーハンセン
2026年2月10日	G3	東京新聞杯	東京	4歳以上	芝	1,600m	トロヴァトーレ	C.ルメール
2026年2月14日	G3	クイーンC	東京	3歳牝	芝	1,600m	ドリームコア	C.ルメール
2026年2月14日	J・G3	小倉ジャンプS	小倉	4歳以上	障害	3,390m	サンデイビス	上野翔
2026年2月15日	G3	共同通信杯	東京	3歳	芝	1,800m	リアライズシリウス	津村明秀
2026年2月15日	G2	京都記念	京都	4歳以上	芝	2,200m	ジューンテイク	藤岡佑介
2026年2月21日	G3	ダイヤモンドS	東京	4歳以上	芝	3,400m	スティンガーグラス	C.ルメール
2026年2月21日	G3	阪急杯	阪神	4歳以上	芝	1,400m	ソンシ	川田将雅
2026年2月22日	G1	フェブラリーS	東京	4歳以上	ダート	1,600m	コスタノヴァ	C.ルメール
2026年2月22日	G3	小倉大賞典	小倉	4歳以上	芝	1,800m	タガノデュード	古川吉洋
2026年2月28日	G3	オーシャンS	中山	4歳以上	芝	1,200m	ペアポルックス	岩田康誠
2026年3月1日	G2	中山記念	中山	4歳以上	芝	1,800m	レーベンスティール	戸崎圭太
2026年3月1日	G2	チューリップ賞	阪神	3歳牝	芝	1,600m	タイセイボーグ	西村淳也
2026年3月7日	G3	中山牝馬S	中山	4歳以上牝	芝	1,800m	エセルフリーダ	武藤雅
2026年3月7日	G2	フィリーズレビュー	阪神	3歳牝	芝	1,400m	ギリーズボール	西塚洸二
2026年3月8日	G2	弥生賞	中山	3歳	芝	2,000m	バステール	川田将雅
2026年3月14日	J・G2	阪神スプリングジャンプ	阪神	4歳以上	障害	3,900m	ディナースタ	高田潤
2026年3月15日	G2	スプリングS	中山	3歳牡・牝	芝	1,800m	アウダーシア	津村明秀
2026年3月15日	G2	金鯱賞	中京	4歳以上	芝	2,000m	シェイクユアハート	古川吉洋
2026年3月21日	G3	フラワーC	中山	3歳牝	芝	1,800m	スマートプリエール	原優介
2026年3月21日	G3	ファルコンS	中京	3歳	芝	1,400m	ダイヤモンドノット	川田将雅
2026年3月22日	G2	阪神大賞典	阪神	4歳以上	芝	3,000m	アドマイヤテラ	武豊
2026年3月22日	G3	愛知杯	中京	4歳以上牝	芝	1,400m	アイサンサン	幸英明
2026年3月28日	G2	日経賞	中山	4歳以上	芝	2,500m	マイユニバース	横山典弘
2026年3月28日	G3	毎日杯	阪神	3歳	芝	1,800m	アルトラムス	岩田望来
2026年3月29日	G3	マーチS	中山	4歳以上	ダート	1,800m	サンデーファンデー	角田大和
2026年3月29日	G1	高松宮記念	中京	4歳以上	芝	1,200m	サトノレーヴ	C.ルメール
2026年4月4日	G3	ダービー卿チャレンジT	中山	4歳以上	芝	1,600m	スズハローム	藤懸貴志
2026年4月4日	G3	チャーチルダウンズC	阪神	3歳	芝	1,600m	アスクイキゴミ	坂井瑠星
2026年4月5日	G1	大阪杯	阪神	4歳以上	芝	2,000m	クロワデュノール	北村友一
2026年4月11日	G2	ニュージーランドT	中山	3歳牡・牝	芝	1,600m	レザベーション	原優介
2026年4月11日	G2	阪神牝馬S	阪神	4歳以上牝	芝	1,600m	エンブロイダリー	C.ルメール
2026年4月12日	G1	桜花賞	阪神	3歳牝	芝	1,600m	スターアニス	松山弘平
2026年4月18日	J・G1	中山グランドジャンプ	中山	4歳以上	障	4,260m	エコロデュエル	草野太郎
2026年4月18日	G3	アンタレスS	阪神	4歳以上	ダート	1,800m	ムルソー	坂井瑠星
