Date,Close/Last,Open,High,Low
07/24/2024,17342.41,17733.91,17747.06,17313.52
07/23/2024,17997.35,17982.74,18128.38,17968.10
07/22/2024,18007.57,17923.65,18040.99,17839.76
07/19/2024,17726.94,17835.59,17935.14,17691.43
07/18/2024,17871.22,18119.15,18130.87,17759.54
07/17/2024,17996.92,18188.19,18223.24,17972.87
07/16/2024,18509.34,18534.27,18576.83,18386.07
07/15/2024,18472.57,18485.91,18641.53,18397.83
07/12/2024,18398.45,18303.64,18556.73,18293.60
07/11/2024,18283.41,18659.25,18671.07,18238.78
07/10/2024,18647.45,18512.09,18655.19,18467.58
07/09/2024,18429.29,18465.02,18511.89,18381.60
07/08/2024,18403.74,18371.86,18416.94,18342.60
07/05/2024,18352.76,18200.60,18366.31,18197.14
07/03/2024,18188.30,18016.12,18188.30,18016.12
07/02/2024,18028.76,17808.04,18031.29,17802.24
07/01/2024,17879.30,17773.90,17894.28,17657.64
06/28/2024,17732.60,17891.10,18035.00,17723.83
06/27/2024,17858.68,17793.95,17892.78,17765.42
06/26/2024,17805.16,17697.26,17813.55,17687.07
06/25/2024,17717.65,17572.16,17734.34,17546.63
06/24/2024,17496.82,17640.26,17730.12,17494.02
06/21/2024,17689.36,17681.01,17787.34,17620.57
06/20/2024,17721.59,17913.94,17936.79,17650.69
06/18/2024,17862.23,17856.76,17890.52,17796.88
06/17/2024,17857.02,17697.30,17935.99,17636.36
06/14/2024,17688.88,17621.18,17693.43,17590.80
06/13/2024,17667.56,17715.26,17741.80,17566.32
06/12/2024,17608.44,17502.15,17725.39,17490.64
06/11/2024,17343.55,17160.42,17345.05,17107.99
06/10/2024,17192.53,17083.45,17213.45,17057.34
06/07/2024,17133.13,17124.14,17229.31,17090.04
06/06/2024,17173.12,17204.87,17235.73,17123.59
06/05/2024,17187.90,16974.48,17187.92,16955.56
06/04/2024,16857.05,16823.88,16891.87,16750.39
06/03/2024,16828.67,16865.70,16909.89,16646.43
05/31/2024,16735.02,16771.90,16789.27,16445.54
05/30/2024,16737.08,16878.63,16900.46,16690.36
05/29/2024,16920.58,16879.35,16989.60,16873.97
05/28/2024,17019.88,16988.31,17032.66,16917.51
05/24/2024,16920.79,16786.79,16947.80,16771.58
05/23/2024,16736.03,16996.39,16996.39,16678.37
05/22/2024,16801.54,16839.02,16855.27,16712.09
05/21/2024,16832.62,16736.10,16839.02,16719.97
05/20/2024,16794.87,16702.02,16823.83,16695.69
05/17/2024,16685.97,16708.49,16726.41,16613.84
05/16/2024,16698.32,16738.11,16797.83,16693.45
05/15/2024,16742.39,16601.14,16749.74,16544.09
05/14/2024,16511.18,16391.16,16526.27,16386.43
05/13/2024,16388.24,16400.31,16407.05,16334.86
05/10/2024,16340.87,16389.02,16437.39,16293.52
05/09/2024,16346.26,16323.74,16362.79,16241.98
05/08/2024,16302.76,16226.07,16341.65,16226.07
05/07/2024,16332.56,16358.34,16397.39,16303.84
05/06/2024,16349.25,16208.54,16350.08,16197.86
05/03/2024,16156.33,16147.48,16204.71,16068.34
05/02/2024,15840.96,15758.11,15862.79,15604.73
05/01/2024,15605.48,15646.09,15926.22,15557.64
